,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
107,"""4 person's work load with 1.5 person's pay""",I worked at Huawei Technologies full-time for more than 5 years,"Good benefit, that is about it","Long working hours. No career development plan for employees. Expats, whom hold management positions,  are  rude , unprofessional, and have no common sense working in NA environment in general.",1.0,1.0,1.0,4.0,2.0
108,"""There is no substitute for hard work""",I worked at Huawei Technologies full-time,Pay is good. Work is more. As a fresher you get to learn End to End of a product,Most of the defects are raised in Chinese. So it takes time to translate and understand the defects,3.0,3.0,3.0,4.0,3.0
109,"""Account Manager""",I worked at Huawei Technologies full-time for more than a year,Absolutely No Pros to mention. None at all,"Everything is wrong. Leadership, culture, direction, lack of honesty, hostile environment. If you’re not an expat you are not visible. Stay away. Everything the Congress has said about this place is true. And if you’re thinking of partnering with them don’t. They will manipulate the customer away by undercutting your cost then moving the account to another vendor or go internal.",1.0,1.0,1.0,3.0,1.0
110,"""Manager""",I worked at Huawei Technologies full-time for more than 5 years,Big company with many products,bad culture and tough environment,,,,,
111,"""Technical Director for Broadband projects""",I worked at Huawei Technologies full-time,very strong provider of telecommunications,for me I don't fins any downside !,,,,,
112,"""Contractor""",I worked at Huawei Technologies full-time for more than a year,"Great, flexible working conditions.  Good managers.",Too much bureaucracy with respect to contractors.,5.0,4.0,3.0,5.0,4.0
113,"""Not a healthy place to work""",I worked at Huawei Technologies full-time,Good Pay and compensation  and benefits,Plans not divulged to engineers; very secretive internally,2.0,1.0,2.0,4.0,1.0
114,"""N/A""",I have been working at Huawei Technologies full-time for more than 3 years,Friendly coworkers and management. Pay is very competitive and benefit package is among the best I have ever been offered.,"The company is run from China by a small group of 4 rotating CEO's, so no western leadership us present in the top tier of decision making. 

Not much room if any for advancement, resulting in limited mobility and an extremely flat trajectory on one's career path.",4.0,4.0,3.0,5.0,4.0
115,"""Finance""",I worked at Huawei Technologies full-time for more than 5 years,Global Exposure and presence; telecom industry,The CFO from HQ has no knowledge of US market and culture at all. He has no flexbility and adaptiblity. It has been a great pain for local financial professionals to work with him.,1.0,1.0,1.0,3.0,1.0
116,"""engineer""",I worked at Huawei Technologies part-time for more than a year,The company generally pays well compared to competitors,"Too much much work load,",2.0,4.0,4.0,4.0,4.0
117,"""Great company if you want to work on cloud technology""",I have been working at Huawei Technologies full-time for more than a year,"You have opportunities to own a core piece of cloud technology, and you have lots of opportunities to attend conferences and meetings to see the latest out there. You also get to travel to China  number of times a year if you are interested in this.",You will have to get used to the fact that headquarter owns all the decisions.,,,,,
