,pro,con
1296,,unprofitable business
1297,,concerns
1298,,degraded trust
1299,,bonus compensation methodology
1300,,the admin center
1301,,the admin
1302,,the hard work
1303,,17 directors
1304,,the only thing
1305,,the feedback
1306,,she
1307,,the directors
1308,,several things
1309,,this position
1310,,high school
1311,,slow ramp
1312,,acquisition
1313,,ibm system
1314,,low salary
1315,,low bonus
1316,,tasks
1317,,the momentum
1318,,some middle managers
1319,,these managers
1320,,applicants
1321,,prejudice
1322,,applicant
1323,,various grounds
1324,,bonus
1325,,individual performance
1326,,previous success
1327,,motivation
1328,,new endorsers
1329,,wrong things
1330,,decision
1331,,new plans
1332,,geography
1333,,internal review process
1334,,the root cause
1335,,new programs
1336,,boring
1337,,volatility
1338,,no clear route
1339,,late nights
1340,,coach
1341,,international flights
1342,,high
1343,,uncertaintity
1344,,desk job
1345,,hybrid
1346,,other roles
1347,,center group attention
1348,,major player
1349,,every function
1350,,big ambitions
1351,,trade
1352,,the vision
1353,,gaps
1354,,management expectations
1355,,triage
1356,,almost no backup
1357,,an understaffed organization
1358,,continuous reorganization
1359,,life
1360,,stability
1361,,processes
1362,,key interfaces
1363,,performance expectations
1364,,no organization
1365,,no way
1366,,good company
1367,,pay wages
1368,,low margin products
1369,,penny
1370,,basic call center
1371,,chaos
1372,,last minute changes
1373,,extra time
1374,,many processes
1375,,no match salary
1376,,local market level
1377,,nearly no
1378,,salary
1379,,increase
1380,,no direction
1381,,even thing
1382,,the training
1383,,intern
1384,,the great team
1385,,market
1386,,high quality
1387,,the processes
1388,,old ways
1389,,four different managers
1390,,first year
1391,,limited growth
1392,,constant resource actions
1393,,senior management team
