,pro,con
1435,some colleagues,same pay grade
1436,you,you
1437,tons,you
1438,information,they
1439,training,it
1440,people,you
1441,flexibility,bad reviews
1442,austin,those bad reviews
1443,other markets,you
1444,culture,
1445,austin,
1446,lots,reviews
1447,opportunities,peers
1448,the company,higher pay grades
1449,you,
1450,salaries,the work
1451,incredible paid family,
1452,policies,
1453,good benefits,the 401k distribution date
1454,401k match,the review
1455,benefits,transparency
1456,that,upper level management
1457,it,no community
1458,work,mentoring
1459,modern technologies,early professionals
1460,great,old company
1461,benefits,nothing
1462,ethics,priorities
1463,leadership,mangers
1464,training,you
1465,security,newcomer
1466,tons,
1467,online training,marketing department
1468,autonomous,marketing
1469,online education,complete disaster
1470,ability,ginni
1471,high salary,the incompetence
1472,junior,the marketing area
1473,great people,things
1474,great partners,big blue
1475,still some,not the same company
1476,people,it
1477,new technology investments,20 years
1478,brilliant,terrible commission
1479,people,no accelerators
1480,amazing resources,you
1481,great perks,certain amount
1482,fine time,year
1483,ibm,you
1484,lots,resource action
1485,training,company
1486,benefits,lot
1487,range,spin
1488,opportunities,company
1489,loyal,whole
1490,employees,too many account
1491,some good,company directions
1492,line managers,move
1493,the director level,other giants
1494,great environment,the culture
1495,company culture,
1496,good,an acquisition
1497,work,ibm
1498,home option,few years
1499,large scale transformation,the leadership
1500,finance,the business
1501,good people,the ground
1502,pros,leadership
1503,work,new jobs
1504,home,the worker bees
1505,large company,themselves
1506,large customers,sounds
1507,many people,bunch
1508,single customer,democrats
1509,chance,reward
1510,niche technologies,bad behavior
1511,flexible,
1512,lots,there
1513,free time,
1514,good work,the technology
1515,decent pay,the job
1516,,it
1517,you,microsoft
1518,opportunity,there
1519,early career professionals,lots
1520,they,opportunities
1521,great benefits,ibm
1522,employees,the bureaucratic environment
1523,decent pay,it
1524,place,there
1525,some access,superficial support
1526,some interesting projects,management
1527,friendly coworkers,growth opportunities
1528,the most part,they
1529,dynamic position,they
1530,flexible challenges,you
1531,never,it
1532,dull moment,you
1533,environment,things
1534,the client,employees
1535,team,less
1536,management,any other company
1537,flexibility,
1538,variety,
1539,opportunity,companies
1540,salaries,all the companies
1541,time,fortune 500
1542,which,morale
1543,all money,the pros section
1544,variable compensation,an employee
1545,internal mobility,the first project
1546,,the employee
1547,several different roles,ibm
1548,,them
1549,them,dog
1550,great people,the dog
1551,,code
1552,many people,solution
1553,all levels,watson
1554,the organization,myth
1555,99,it
1556,them,prime time
1557,joy,ibm
1558,important work,there
1559,the work,limits
1560,,
1561,matters,ibm
1562,ibm,sometimes
1563,,politics
1564,,others
1565,ibm,they
1566,diversity,papers
1567,it,visibility
1568,just buzz word,the higher management
1569,lip service,too much politics
1570,diversity,many executives
1571,part,not enough workers
1572,ibm,management decisions
1573,we,teams
1574,internal bias,it
1575,barriers,need room
1576,inclusion,career growth
1577,flexibility,client
1578,companies,lots
1579,tech company,employees
1580,you,no organization whatsoever
1581,touches,the digital rotation program
1582,every discipline interesting work,you
1583,smart people,headcount
1584,innovation,the blue pay cuts
1585,trends technologies,they
1586,ibm,significant pay cuts
1587,strong focus,benefits
1588,improving society,management
1589,technology,the premise
1590,smart people,the rotation program
1591,innovative thinking,people
1592,competitive benefits,job opportunities
1593,world class solutions,80
1594,terrific teammates,the people
1595,,the program
1596,myself,placements
1597,teamwork,nothing
1598,awesome,cons
1599,available,ibm
1600,ability,there
1601,different positions,frequent reorgs
1602,ibm,bad
1603,,hikes
1604,endless career paths,yearly
1605,you,salary
1606,one company,slow adoption
1607,new benefits,new technology
1608,everyone,this
1609,personal accountability,company
1610,work,not the same company
1611,read,
1612,no micromanagement,there
1613,,bias
1614,wfh,older workers
1615,,it
1616,this review,capricious termination
1617,,any time
1618,each,the company
1619,every day,the culture
1620,the employees,ibm upper management
1621,the,the business unit
1622,,you
1623,extensive experience,it
1624,it,all areas
1625,ibm,everyone
1626,some great training programs,conditions
1627,developmental opportunities,global compensation
1628,professional,offices
1629,customer success,hierarchy
1630,,infantilizing
1631,resources,the employees
1632,you,frequent changes
1633,ibm,territories
1634,most,it
1635,you,an impact
1636,good compensation,success
1637,benefits,ibm
1638,an abundance,it
1639,training,us
1640,huge company,employees
1641,ton,the constant fear
1642,positions,high ratings
1643,various,manager
1644,training material,nothing
1645,it,
1646,they,high performers
1647,actual classroom,years
1648,onsite education years,it
1649,lot,many
1650,smart people,people
1651,name,distance long hours
1652,some clout,periods
1653,it,you
1654,the past,you
1655,anyplace,that project
1656,it,manager
1657,the team,you
1658,you,not enough
1659,the real work environment,transparency
1660,every single individual,advancement
1661,,business processes
1662,the benefits,the marketing organization
1663,health insurance,whole
1664,you,itself
1665,the,processes
1666,good salary,customers
1667,good promotion rate,sales
1668,senior consultant,there
1669,lots,the name
1670,development opportunities,practice
1671,stable organization,it
1672,good benefits,anything
1673,innovative,other
1674,culture,share
1675,experience,restriction period
1676,the division,every year
1677,you,they
1678,flexibility,some
1679,tons,the employees
1680,material,period
1681,good school,constant reorganization
1682,you,uncertainty
1683,other jobs,lack
1684,benefits,communication
1685,medical,number company
1686,low cost,big
1687,employees,general employee
1688,good,the pains
1689,401k,large corporate company
1690,matching,no pay transparency
1691,some,you
1692,good people,there
1693,there,lot
1694,lots,talk
1695,ibm,new initiatives
1696,opportunities,any execution
1697,lots,very poor integration
1698,resources,the businesses
1699,work life balance,watson health
1700,average flexibility,health care
1701,home,ibm
1702,several teams,any company
1703,office,
1704,excellent learning environment,part
1705,helpful people,administrative overhead
1706,name,it
1707,people,less salary
1708,you,other companies
1709,them,sick
1710,you,they
1711,ibm,you
1712,it,no compassion
1713,couple years,the cloud market
1714,the experience,new roles
1715,schedule,politics
1716,great opportunity,long hours
1717,technology,work
1718,international experience,the bentonville office
1719,many things,they
1720,big company,walmart vendor
1721,there,contracts
1722,many opportunities,decision
1723,technical skills,top heavy
1724,technology,redhat
1725,interesting problems,older staff layoffs
1726,strong resources,cheap labor
1727,deep support,billing rates
1728,there,things
1729,some,distance
1730,the government,sites
1731,fda records,some form
1732,classification,personal travel
1733,hhs database,you
1734,ibm,red tape
1735,really banking,ridiculous overhead
1736,itself,the most basic
1737,the future,business operations
1738,you,basic operations
1739,lots,this
1740,techologies,things
1741,nlp,lawyers
1742,computer vision,technology
1743,some element,everything
1744,models,travel
1745,classification,research direction
1746,the dc office,publication
1747,,place
1748,14th,all
1749,one block,those things
1750,metro center,more
1751,work life balance,senior management
1752,mangement,coherent direction
1753,the company benefits,they
1754,lots,the sales force
1755,long time employees,
1756,ibm,the same mistake
1757,pragmatism,hint
1758,daily dealings,it
1759,flexibility,good idea
1760,project,technical staff
1761,some cool projects,the sale
1762,legacy,the contract
1763,decent company,good
1764,many,you
1765,oppurunities,the risks
1766,ibm,these risks
