,pro,con
981,great compensation,no rsu
982,options,stock options
983,good friends,great opportunities
984,tech,health benefits
985,unbelievable,not that great
986,killer benefits,low salary
987,membership,bonus
988,amazing 401k match,no compelling reason
989,michael,any other large tech company
990,killer tech company,organizational changes
991,key principal,restructuring groups
992,the loss,consolidation
993,great potential,incentives
994,the field,the change
995,large portfolio,development tools
996,meeting,consistent process
997,120,focus
998,huge potential,workforce reductions
999,serious money,team presence
1000,earnings potential,no upward mobility
1001,wonderful people,flat organization
1002,the taking,management path
1003,ideal management structure,much
1004,group,many other large corporations
1005,talented coworkers,buddies
1006,rotation opportunities,the others
1007,good learning curve,boarding
1008,growth opportunity,once
1009,flexible working hours,moment
1010,remote competitive salary,deep breath
1011,more feasibility,the only
1012,technologies,the excessive amount
1013,good resource,available information
1014,skillset,many companies
1015,technical,the purchase
1016,sales knowledge,different culture
1017,flexibility working,sometimes parking
1018,the list,frustrating pressures
1019,work team,more prime vendor
1020,travel,status
1021,great money,non hdhp
1022,fun job,the downsides
1023,major market share,software sect
1024,new initiatives,diversity
1025,remote positions benefits,the thick accents
1026,leave,coworkers
1027,fantastic,no formulated structure
1028,smile,the internship
1029,hello,ringing
1030,total stranger,the commission structure
1031,sounds,most other sales
1032,small thing,the customers
1033,happy people,guess
1034,an adult,hq
1035,automatic trust,texas
1036,the interview process,large teams
1037,the 401k match,excessive performance management
1038,wellness options,company culture
1039,the health plan,some people
1040,wonderful things,interns
1041,the dynamic,any organization
1042,fairly new employee,95
1043,traditional company,the employees
1044,the wayside,the career mobility
1045,nimble,former emc employees
1046,finance,the dust
1047,procurement,wound
1048,vacation time,two years
1049,sick time,different position
1050,super friendly management,real lean
1051,the channel,big increase
1052,excellent pay,no career
1053,exciting work environment,the backup division
1054,good atmosphere,executive management
1055,care,new product
1056,good organization,several years
1057,life balance un company,many lateral opportunities
1058,excellent growth opportunities,myself
1059,teamwork,more senior roles
1060,many different opportunities,director
1061,extra hours,some cases
1062,the managers,preference
1063,the role,external candidates
1064,the team,internal
1065,the employees,boomerang
1066,volunteering works,waiting
1067,such opportunities,something internal
1068,the communities,managing
1069,an incredible company,200 publishers
1070,the perks,customer recommendations
1071,the salary,company tools
1072,the time,co
1073,upwards,an overseas location
1074,lateral mobility,employee morale
1075,edge solutions,only hand full
1076,competitors,rest move
1077,responsibility,more
1078,the right thing,vps
1079,no,the companies
1080,good compensation,goal
1081,global scope,little award
1082,global presence,dog
1083,wide range,the next level
1084,great management,that next level
1085,vacation accrual,all the eggs
1086,ten years,one basket
1087,four weeks,basket
1088,recognizable brand name company,services
1089,another job,dell management
1090,modernization efforts,new positions
1091,the option,the hours
1092,good training,enormous company
1093,spiff,opportunity
1094,local people,growth
1095,401k match,the teams
1096,hardworking,the sales organization
1097,members,talent acquisition
1098,the forefront,qualified diverse candidates
1099,workforce transformation fun team building activities,the best job
1100,location,date
1101,hq,higher levels
1102,management team,account moves
1103,awesome technology,bus
1104,strong company,the territory
1105,new skills,dated office
1106,departments,building
1107,vibrant workforce,no other
1108,woman,once dell
1109,events,pips
1110,the best tech,the past years
1111,drive technical value,max 401k contribution match
1112,continuous professional development,max vacation
1113,the tse,medical insurance
1114,other things,repetitive work
1115,reasonable autonomy,the same barriers
1116,cubes,success
1117,not open office,the love
1118,ample,personal time
1119,work friendly,sometimes management
1120,corporate culture,birds eye view
1121,home benefits,expectations
1122,market leader,career progression
1123,technology hardware,expensive health insurance
1124,good erp processes,high risk
1125,just three months,the greatest
1126,ample support,the fair pay
1127,building skills,this position
1128,more value,solutions
1129,workplace program,clients
1130,paid,isnot
1131,dell 401,an external hire
1132,max,flow
1133,great options,all the good things
1134,topics,the constant changes
1135,appx,the same fore
1136,different teams,sometimes the customer
1137,several areas,the bottom
1138,the best people,good talent
1139,amazing managers,dinosaur company
1140,los,the buildings
1141,new experiences,engineering
1142,least effort,the business buildings
1143,mine,big global organization navigation
1144,different work streams,tech
1145,senior executive leadership,bad territory
1146,operations,advance
1147,excellence,bad thing
1148,fair compensation,the expectations
1149,processes,not necessarily
1150,an amazing manager,an air
1151,great team dynamic,all locations
1152,ample time,senior management
1153,separate,the same metrics
1154,vacation days,the dell merger
1155,decent training,every large company
1156,advancement opportunities,loss
1157,unlimited cap,head count shortage
1158,spiffs,an excuse
1159,playful environment,technology company
1160,friends,edge things
1161,career mobility,tools
1162,strong marketable skillset,internal tools
1163,three organizations,job duties
1164,dell checks,growing pains
